ID,facilitycode,district,dcode,name,lab,ftype,managedby,resultdeliverymode,deliverymode,smsprinter,resultsdeliverysponsor,contactperson,contacttelephone,contactperson2,contacttelephone2,smsprinterserialno,smsprinterversion,smsinstalldate,smsprinterno,PUK,PIN,simcardno,network,telephone,fax,email,PostalAddress,physicaladdress,ContactEmail,Flag,telephone2
"0724","0724","17","Mzimba","Manolo Health Centre","3","Health Center","MOH","2",\N,\N,"","","",\N,"",\N,\N,\N,\N,\N,\N,\N,\N,"","","",\N,"","","1",""
"0725","0725","17","Mzimba","St Johns of God Mental Hospital","3","Mental Hospital","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","","","","","","","1",""
"0738","0738","17","Mzimba","Mzuzu Central Hospital","3","Dispensary","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","","2651320217","2651320217","","P/Bag 209 Mzuzu","","","1",""
"0782","0782","17","Mzimba","Macro Mzuzu","3","Health Center","MOH",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"0789","0789","17","Mzimba","Mzuzu University","3","Health Center","MOH",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"0799","0799","17","Mzimba","Unknown facilities from Mzuzu Central","3","Hospital","MOH","2",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"1",\N
"0N/A","0N/A","11","Lilongwe","Ministry of Health N/A","0","N/A","MOH","4","","","CHAI","Dalitso Midiani","999354808","Mr. Mwenda","999667034","Modem #3","N/A","2010-07-24","2.65888E+11","50430599","1234","2147483647","TNM","","","","","","","1",""
"1001","1001","9","Kasungu","Bua (Kasungu) Dispensary","2","Dispensary","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"1002","1002","9","Kasungu","Chamwabvi Dispensary","2","Dispensary","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"1003","1003","9","Kasungu","Chulu Health Center","2","Health Center","MOH","4",\N,\N,"CHAI","Lot Makowa","999211200","Charles Chunda","999072319","TN074","v2.44","2010-08-26","2.66E+11","16364293","1234","2147483647","TNM",\N,\N,\N,\N,\N,\N,"1",\N
"1004","1004","9","Kasungu","Dwangwa Dispensary","2","Dispensary","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"1005","1005","9","Kasungu","Kaluluma Rural Hospital","2","Rural Hospital","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"1006","1006","9","Kasungu","Kamboni Health Center","2","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"1007","1007","9","Kasungu","Kapelula Health Center","2","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"1008","1008","9","Kasungu","Kasungu District Hospital","2","District Hospital","MOH","4",\N,\N,"CHAI","Lamecki Guga","999339797","Godson Thwala","888133748","TN115","v2.44","2010-08-26","2.65888E+11","80416486","1234","2147483647","TNM",\N,\N,\N,\N,\N,\N,"1",\N
"1009","1009","9","Kasungu","Kawamba Health Center","2","Health Center","MOH/LG","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"1010","1010","9","Kasungu","Mkhota Health Center","2","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"1011","1011","9","Kasungu","Mtunthama Health Center","2","Health Center","MOH","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"1012","1012","9","Kasungu","Newa / Mpasazi Health Center","2","Health Center","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
"1013","1013","9","Kasungu","Nkhamenya Hospital","2","Hospital","CHAM","2",\N,\N,"","","","","","","","0000-00-00","","0","0","0","",\N,\N,\N,\N,\N,\N,"1",\N
